nombre,categoria,precio,cantidad,descripcion,oferta,destacado
ACUARIUS LIMON LATA 33 CL,BEBIDAS,1.0,0,es un acuarios boludo,,no
AGUA MINERAL 1.5L,BEBIDAS,1.0,31.0,,,no
AGUA MINERAL 1.5L PACK 6 UDS.,BEBIDAS,2.2,6.0,es agua,,no
AGUA MINERAL 500CL,BEBIDAS,0.5,45.0,,,no
ARTESANA SR,SNACKS,1.4,3.0,cerveza,,no
BIFRUTAS 33CL,BEBIDAS,1.0,23.0,,,no
BILLETES GIGANTES OBLEA,CARAMELOS Y GOLOSINAS,0.2,143.0,,,no
BOLLYCAO CACAO 3UDS,DULCES Y BOLLERIA,1.99,1.0,,,no
BOLSA DE PLASTICO,All,0.1,368.0,,,no
BONY 3 UDS,DULCES Y BOLLERIA,2.29,1.0,-10,Bimbo - Bony 3 unidades, 156 g (52 g por unidad),si
BOOM SPRAY STAND,CARAMELOS Y GOLOSINAS,1.45,11.0,,,no
BUBBALOO COLA STICK,CARAMELOS Y GOLOSINAS,0.7,13.0,,,no
BUBBALOO FRESA STICK,CARAMELOS Y GOLOSINAS,0.7,222.0,,,no
BUBBLE GUM,CARAMELOS Y GOLOSINAS,1.6,15.0,,,no
BURGER JELLY 66G,CARAMELOS Y GOLOSINAS,1.5,9.0,,,no
CACAHUETAZO TIJUANA CRUNCH,SNACKS,1.0,15.0,,,no
CAMPESINA SR,SNACKS,1.4,5.0,,,no
CAPRI SUN 200ML NARANJA,BEBIDAS,0.8,2.0,,,no
CAPRI SUN 200ML TROPICAL,BEBIDAS,0.8,90,,,no
CARTON ADRENALYN LIGA 24-25,All,10.0,2.0,,,no
CAÑA CH Qè!,DULCES Y BOLLERIA,1.4,0.0,,,no
CAÑA Qe! DALMATA,DULCES Y BOLLERIA,1.4,2.0,,,no
CERVEZA CRUZCAMPO LATA 33CL,BEBIDAS,1.0,14.0,,,no
CHEETOS BIT HOT,SNACKS,0.5,5.0,,,no
CHEETOS PANDILLAS GRANDES,SNACKS,1.5,9.0,,,no
CHEETOS PANDILLAS PEQUEÑOS,SNACKS,0.5,25.0,,,no
CHEETOS PELOTAZOS GRANDES,SNACKS,1.5,10.0,,,no
CHEETOS PELOTAZOS PEQUEÑOS,SNACKS,0.5,40.0,,,no
CHEETOS RIZOS GRANDES,SNACKS,1.5,12.0,,,no
CHEETOS RIZOS PEQUEÑOS,SNACKS,0.5,46.0,,,no
CHEETOS STICKS  PEQUEÑOS,SNACKS,0.5,28.0,,,no
CHEETOS STICKS GRANDES,SNACKS,1.5,15.0,,,no
CHIPS AHOY 128GR,DULCES Y BOLLERIA,2.3,11.0,,,no
CHOCO BOM BLANCO,DULCES Y BOLLERIA,1.6,11.0,,,no
CHUPA CHUPS,CARAMELOS Y GOLOSINAS,0.4,159.0,,,no
CINTAS ACIDAS FRESA,CARAMELOS Y GOLOSINAS,1.0,12.0,,,no
CINTAS ACIDAS MULTICOLOR,CARAMELOS Y GOLOSINAS,1.0,10.0,,,no
COCA COLA 2L,BEBIDAS,2.5,2.0,,,no
COCA COLA 2L ZERO,BEBIDAS,2.5,11.0,,,no
COCA-COLA PET500,BEBIDAS,1.5,12.0,,,no
COCA-COLA ZERO PET500,BEBIDAS,1.5,9.0,,,no
COLLAR ENVUELTO,CARAMELOS Y GOLOSINAS,0.3,33.0,,,no
COMBI SR,SNACKS,1.4,5.0,,,no
CONCHAS,DULCES Y BOLLERIA,0.5,21.0,,,no
CONGUITOS BLANCOS,CARAMELOS Y GOLOSINAS,0.6,22.0,,,no
CONGUITOS GALLETA,SNACKS,1.3,38.0,,,no
CONGUITOS ORIGINAL,CARAMELOS Y GOLOSINAS,0.6,44.0,,,no
CORNADOS SR,SNACKS,1.0,6.0,,,no
DINO JELLY UNIDAD,CARAMELOS Y GOLOSINAS,0.3,55.0,,,no
"DINOSAURUS CEREALES 1,20€",DULCES Y BOLLERIA,1.2,9.0,,,no
"DINOSAURUS HUEVOS 1,40€",DULCES Y BOLLERIA,1.4,12.0,,,no
DONETTES CLASICOS 6UDS,DULCES Y BOLLERIA,1.99,2.0,,,no
DONETTES RAYADOS 6UDS,DULCES Y BOLLERIA,1.99,0.0,,,no
DONUTS AMERICANO 2UDS,DULCES Y BOLLERIA,1.99,1.0,,,no
DONUTS AMERICANO CREMA,DULCES Y BOLLERIA,1.99,0.0,,,no
DONUTS BOMBOM 2,DULCES Y BOLLERIA,1.5,1.0,,,no
DONUTS GLACE 2,DULCES Y BOLLERIA,1.5,1.0,,,no
DORITOS BITS BARBACOA GRANDES,SNACKS,1.0,17.0,,,no
DORITOS BITS BARBACOA PEQUEÑOS,SNACKS,0.5,14.0,,,no
DORITOS BITS PIZZA,SNACKS,0.5,31.0,,,no
DORITOS CHILLI,SNACKS,1.5,6.0,,,no
DORITOS TEX,SNACKS,1.5,8.0,,,no
DULCE PAUSA,DULCES Y BOLLERIA,0.6,23.0,,,no
DULCI PICA STRAWBERRY PENCIL,CARAMELOS Y GOLOSINAS,1.0,13.0,,,no
DULCITAR STRAWBERRY PENCIL,CARAMELOS Y GOLOSINAS,1.0,14.0,,,no
DULCITAR XL FRESA,GOLOSINAS A GRANEL,0.5,14.0,,,no
ENERYETI ANYEL 500ML,BEBIDAS,1.2,22.0,,,no
ENERYETI FEROZ 500ML,BEBIDAS,1.2,23.0,,,no
ENERYETI ZERO ZAFIRO 500ML,BEBIDAS,1.2,20.0,,,no
FANTA LIMON 2L.,BEBIDAS,2.5,6.0,,,no
FANTA LIMON LATA 33 CL,BEBIDAS,1.0,8.0,,,no
FANTA NARANJA 2L,BEBIDAS,2.5,4.0,,,no
FANTA NARANJA LATA 33CL,BEBIDAS,1.0,19.0,,,no
FERRERO COLLECTION,DULCES Y BOLLERIA,12.0,1.0,,,no
FERRERO ROCHER 16 UDS,DULCES Y BOLLERIA,0.7,16.0,,,no
FILIPINOS BLANCOS,DULCES Y BOLLERIA,1.4,10.0,,,no
FILIPINOS GOFRE NEGRO,DULCES Y BOLLERIA,1.2,0.0,,,no
FRESQUITO CER,CARAMELOS Y GOLOSINAS,0.5,36.0,,,no
FRESQUITO PAT,CARAMELOS Y GOLOSINAS,0.5,38.0,,,no
FRESQUITO PIN,CARAMELOS Y GOLOSINAS,0.5,47.0,,,no
FRITOS BARBACOA,SNACKS,1.5,13.0,,,no
FROOZE POP,CARAMELOS Y GOLOSINAS,1.5,20.0,,,no
FRU+LECHE FRESA-PLATANO,BEBIDAS,0.4,1.0,,,no
FRU+LECHE MEDITERRANEO,BEBIDAS,0.4,-3.0,,,no
FRU+LECHE TROPICAL,BEBIDAS,0.4,23.0,,,no
FUNKEE DIPS 28GR,CARAMELOS Y GOLOSINAS,0.5,19.0,,,no
GARROTA NAVIDAD,CARAMELOS Y GOLOSINAS,0.35,49.0,,,no
GITANITOS ABIARJO,DULCES Y BOLLERIA,0.3,29.0,,,no
GOLOSINAS GRANEL 10 CTS. UD.,GOLOSINAS A GRANEL,0.1,11058.0,,,no
GOLOSINAS GRANEL 20CTS. UD.,GOLOSINAS A GRANEL,0.2,468.0,,,no
GREFUSACO SR,SNACKS,1.4,7.0,,,no
GREFUSITOS JR,SNACKS,0.5,9.0,,,no
GREFUTUBO SR,SNACKS,1.4,3.0,,,no
"GUBLINS BBQ 0,50€",SNACKS,0.5,17.0,,,no
GUBLINS BBQ SR,SNACKS,1.4,10.0,,,no
GUBLINS FUEGOTE,SNACKS,0.5,23.0,,,no
GUBLINS MINIM´S 1€,SNACKS,1.0,8.0,,,no
GUBLINS MINIM´S 50€,SNACKS,0.5,16.0,,,no
"GUBLINS MINIM´S MIX 0,50€",SNACKS,0.5,21.0,,,no
GUMMY DIPPERZ,CARAMELOS Y GOLOSINAS,4.0,6.0,,,no
GUSANOS BICEFALOS,CARAMELOS Y GOLOSINAS,1.0,13.0,,,no
HALLS CITRICO,CARAMELOS Y GOLOSINAS,0.85,5.0,,,no
HALLS EXTRA FUERTE,CARAMELOS Y GOLOSINAS,0.85,8.0,,,no
HALLS MIEL Y LIMON,CARAMELOS Y GOLOSINAS,0.85,13.0,,,no
HALLS ORIGINAL,CARAMELOS Y GOLOSINAS,0.85,14.0,,,no
HOJALDRE RELLENO PACK 2 UDS,DULCES Y BOLLERIA,0.9,10.0,,,no
HOT POT SWEET,CARAMELOS Y GOLOSINAS,2.1,8.0,,,no
HUESITOS ORIGINAL,SNACKS,0.5,28.0,,,no
INIMITABLES GREFUSA,SNACKS,1.3,18.0,,,no
"JETAS 0,50€",SNACKS,0.5,13.0,,,no
"JETAS 1,40€",SNACKS,1.4,9.0,,,no
JUICY DROP POP,CARAMELOS Y GOLOSINAS,2.5,12.0,,,no
KINDER BUENO,DULCES Y BOLLERIA,1.2,21.0,,,no
